project,bugs,version,MAP_buglocator,MRR_buglocator,HIT1_buglocator,HIT5_buglocator,HIT10_buglocator,MAP_bluir,MRR_bluir,HIT1_bluir,HIT5_bluir,HIT10_bluir,MAP_brtracer,MRR_brtracer,HIT1_brtracer,HIT5_brtracer,HIT10_brtracer,MAP_amalgam,MRR_amalgam,HIT1_amalgam,HIT5_amalgam,HIT10_amalgam,MAP_blia,MRR_blia,HIT1_blia,HIT5_blia,HIT10_blia,MAP_locus,MRR_locus,HIT1_locus,HIT5_locus,HIT10_locus,MAP_blizzard,MRR_blizzard,HIT1_blizzard,HIT5_blizzard,HIT10_blizzard
Apache_CAMEL,1452.0,62,0.37669629145255434,0.46610163549399597,0.3581267217630854,0.5888429752066116,0.668732782369146,0.2157489448605174,0.21588412651271272,0.12534435261707988,0.30578512396694213,0.400137741046832,0.44290998054925435,0.5502215237792244,0.44077134986225897,0.6728650137741047,0.7424242424242424,0.18696193360201346,0.22187149011448548,0.13292011019283748,0.30991735537190085,0.4166666666666667,0.39528638436480457,0.46732671118288555,0.3381542699724518,0.6191460055096418,0.731404958677686,0.46867343613812845,0.5593057990250431,0.4393939393939394,0.7073002754820936,0.7830578512396694,0.20951292117356135,0.2072930207227724,0.27892561983471076,0.5027548209366391,0.5702479338842975
Apache_HBASE,858.0,70,0.3688675412616859,0.4524082982902144,0.32517482517482516,0.6060606060606061,0.6911421911421911,0.25235508755593855,0.26092206153579595,0.1655011655011655,0.36013986013986016,0.4533799533799534,0.4386524620278099,0.5434959754966576,0.42657342657342656,0.6993006993006993,0.7645687645687645,0.20288931421907067,0.2455683048465631,0.15034965034965034,0.3508158508158508,0.44638694638694637,0.41254150452832533,0.48725600661586077,0.3531468531468531,0.6538461538461539,0.7354312354312355,0.46330272075889,0.5532813902010832,0.4417249417249417,0.6981351981351981,0.7692307692307693,0.28212555612176854,0.2783876477058297,0.3962703962703963,0.6655011655011654,0.7272727272727273
Apache_HIVE,1219.0,21,0.2766113606777415,0.37196534517616753,0.2502050861361772,0.5077932731747334,0.605414273995078,0.2139467093523383,0.21682634058170874,0.13945857260049221,0.28547990155865466,0.36177194421657094,0.3575976850340406,0.474059290095306,0.35192780968006565,0.6374077112387203,0.7095980311730927,0.16970943926389648,0.22203515198251106,0.14602132895816242,0.2871205906480722,0.3642329778506973,0.27532005705373275,0.351025050219321,0.20426579163248565,0.5340442986054142,0.6472518457752255,0.3597369411210975,0.454055663218843,0.33470057424118127,0.5963904840032814,0.7013945857260049,0.2196083801805703,0.21612420939738394,0.2748154224774405,0.5217391304347826,0.6324856439704676
Commons_CODEC,41.0,9,0.7680981348854943,0.847339246119734,0.7560975609756098,0.975609756097561,0.975609756097561,0.70362950058072,0.7070460704607046,0.5609756097560976,0.926829268292683,0.975609756097561,0.74714094628408,0.799791908633372,0.7317073170731707,0.8780487804878049,0.9512195121951219,0.5903697251258225,0.6147696476964769,0.43902439024390244,0.926829268292683,0.975609756097561,0.8248257839721255,0.8544715447154473,0.7804878048780488,0.9512195121951219,0.9512195121951219,0.7376336075942411,0.7810104529616725,0.6585365853658537,0.9512195121951219,0.9512195121951219,0.4276761517615177,0.4258130081300814,0.7560975609756098,0.9024390243902439,0.926829268292683
Commons_COLLECTIONS,93.0,7,0.5883925746994007,0.6318202669821631,0.5053763440860215,0.7634408602150538,0.8279569892473119,0.3783500604695042,0.36396532463056136,0.24731182795698925,0.4946236559139785,0.5698924731182796,0.6694445912831299,0.7172325976230901,0.6236559139784946,0.8387096774193549,0.8494623655913979,0.32038848997307073,0.34113183324868285,0.21505376344086022,0.4838709677419355,0.5698924731182796,0.6960435614888659,0.7303464755077658,0.6451612903225806,0.8387096774193549,0.8387096774193549,0.7029796441995751,0.7351875518683667,0.6774193548387096,0.8064516129032258,0.8387096774193549,0.34613570420022016,0.3399560117302051,0.4946236559139785,0.8064516129032258,0.8279569892473119
Commons_COMPRESS,111.0,15,0.6566922410729336,0.7334288834288832,0.6036036036036037,0.9099099099099099,0.963963963963964,0.39021339303715313,0.3982437405237139,0.21621621621621623,0.6666666666666666,0.8198198198198198,0.6850265017482234,0.7736725399129492,0.6306306306306306,0.972972972972973,0.972972972972973,0.35184842624698615,0.38474565937857397,0.2072072072072072,0.6306306306306306,0.8198198198198198,0.7700698057840916,0.8078578578578578,0.6936936936936937,0.963963963963964,0.9819819819819819,0.7052233036560445,0.7876932126932127,0.6936936936936937,0.918918918918919,0.990990990990991,0.36985416152082834,0.36924879424879437,0.6036036036036037,0.8108108108108109,0.918918918918919
Commons_CONFIGURATION,135.0,11,0.6515688836062377,0.7064304993189856,0.5925925925925926,0.8592592592592593,0.8962962962962963,0.3893112205733342,0.39348981023623125,0.28888888888888886,0.5037037037037037,0.6296296296296297,0.6778615991696173,0.7337582383626079,0.6370370370370371,0.8814814814814815,0.8814814814814815,0.3639781474180449,0.38092718953323945,0.26666666666666666,0.5037037037037037,0.6222222222222222,0.7364146690072617,0.7721725188391855,0.6888888888888889,0.8814814814814815,0.9037037037037037,0.572495052475145,0.607351321199738,0.4444444444444444,0.8,0.8814814814814815,0.3306591710758379,0.33287771898883023,0.5037037037037037,0.762962962962963,0.8222222222222222
Commons_CRYPTO,8.0,1,0.24371956752132273,0.24421296296296297,0.125,0.5,0.5,0.184375,0.184375,0.125,0.25,0.5,0.29438596202207895,0.3020833333333333,0.125,0.625,0.625,0.1875,0.1875,0.125,0.25,0.5,0.26041666666666663,0.28125,0.25,0.375,0.375,0.38181869600987245,0.4583333333333333,0.375,0.625,0.625,0.15625,0.1388888888888889,0.25,0.25,0.375
Commons_CSV,14.0,3,0.6528880643166357,0.6743166357452072,0.5714285714285714,0.7857142857142857,0.8571428571428571,0.5791666666666666,0.5886904761904762,0.5,0.7857142857142857,0.8571428571428571,0.5899603174603174,0.6113888888888889,0.5,0.7857142857142857,0.9285714285714286,0.6119047619047618,0.6452380952380953,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.5357142857142857,0.5357142857142857,0.5,0.5714285714285714,0.5714285714285714,0.6363945578231291,0.660204081632653,0.5,0.8571428571428571,1.0,0.4404761904761904,0.42857142857142855,0.6428571428571429,1.0,1.0
Commons_IO,88.0,13,0.7955508515404349,0.8071608946608948,0.7272727272727273,0.8977272727272727,0.9431818181818182,0.39165611174447773,0.3913733272818332,0.25,0.6022727272727273,0.6931818181818182,0.8244744421885497,0.8559877622377621,0.8068181818181818,0.9318181818181818,0.9431818181818182,0.35270104643914074,0.3566871628548122,0.20454545454545456,0.5795454545454546,0.6818181818181818,0.8380420991571559,0.8456439393939394,0.7727272727272727,0.9318181818181818,0.9431818181818182,0.6984857334038547,0.7135330578512398,0.6136363636363636,0.8409090909090909,0.8522727272727273,0.4051932825471786,0.4018668831168831,0.6477272727272727,0.875,0.9318181818181818
